time,accel,connect_fit,ols_fit
2.4000001,0,-.9072037241729226,-1.463528989553824
2.5999999,-1.3,-.9644730462113711,-1.446394615366768
3.2,-2.7,-1.136281217137968,-1.394991431528243
3.5999999,0,-1.250819929485282,-1.360722662728345
4,-2.7,-1.365358710103013,-1.326453873502662
6.1999998,-2.7,-1.995321798689284,-1.13797559403876
6.5999999,-2.7,-2.109860579307015,-1.103706804813077
6.8000002,-1.3,-2.167130037886298,-1.08657238977445
7.8000002,-2.7,-2.581884626275486,-1.492558763692565
8.1999998,-2.7,-2.803927255488931,-1.869910403541604
8.8000002,-1.3,-3.136991728700486,-2.435938762992439
8.8000002,-2.7,-3.136991728700486,-2.435938762992439
9.6000004,-2.7,-3.581077516518764,-3.190642942367794
10,-2.7,-3.80312014573221,-3.567994582216834
10.2,-5.4000001,-3.914141460338932,-3.756670402141354
10.6,-2.7,-4.136184618943765,-4.134022941667669
11,-5.4000001,-4.35822724815721,-4.511374581516709
11.4,0,-4.580269877370656,-4.888726221365747
13.2,-2.7,-5.579462767613935,-6.586810400040978
13.6,-2.7,-5.801505926218766,-6.964162939567292
13.8,0,-5.91252724082549,-7.152838759491813
14.6,-13.3,-9.123175079208751,-10.52981033364227
14.6,-5.4000001,-9.123175079208751,-10.52981033364227
14.6,-5.4000001,-9.123175079208751,-10.52981033364227
14.6,-9.3000002,-9.123175079208751,-10.52981033364227
14.6,-16,-9.123175079208751,-10.52981033364227
14.6,-22.799999,-9.123175079208751,-10.52981033364227
14.8,-2.7,-13.84512215144293,-15.08892139158572
15.4,-22.799999,-28.01096336814545,-28.7662545654161
15.4,-32.099998,-28.01096336814545,-28.7662545654161
15.4,-53.5,-28.01096336814545,-28.7662545654161
15.4,-54.900002,-28.01096336814545,-28.7662545654161
15.6,-40.200001,-32.73293295639932,-33.3253873629159
15.6,-21.5,-32.73293295639932,-33.3253873629159
15.8,-21.5,-37.4548800286335,-37.88449842085936
15.8,-50.799999,-37.4548800286335,-37.88449842085936
16,-42.900002,-42.17682710086768,-42.44360947880281
16,-26.799999,-42.17682710086768,-42.44360947880281
16.200001,-21.5,-47.94893051503736,-47.66306513295075
16.200001,-50.799999,-47.94893051503736,-47.66306513295075
16.200001,-61.700001,-47.94893051503736,-47.66306513295075
16.4,-5.4000001,-55.29615208065145,-53.87293797817524
16.4,-80.400002,-55.29615208065145,-53.87293797817524
16.6,-59,-62.64344371523153,-60.08287004570104
16.799999,-71,-69.99066528084562,-66.29274289092557
16.799999,-91.099998,-69.99066528084562,-66.29274289092557
16.799999,-77.699997,-69.99066528084562,-66.29274289092557
17.6,-37.5,-99.37976175019996,-91.13241193872746
17.6,-85.599998,-99.37976175019996,-91.13241193872746
17.6,-123.1,-99.37976175019996,-91.13241193872746
17.6,-101.9,-99.37976175019996,-91.13241193872746
17.799999,-99.099998,-101.400005769731,-94.20400902238734
17.799999,-104.4,-101.400005769731,-94.20400902238734
18.6,-112.5,-93.49999270439007,-97.0755906114557
18.6,-50.799999,-93.49999270439007,-97.0755906114557
19.200001,-123.1,-87.57498761415238,-99.22927509166338
19.4,-85.599998,-85.59999847412109,-99.9471653541498
19.4,-72.300003,-85.59999847412109,-99.9471653541498
19.6,-127.2,-88.41079995691307,-102.1800108158221
20.200001,-123.1,-96.84317759949951,-108.8785259068463
20.4,-117.9,-99.65395227650201,-111.1113500745261
21.200001,-134,-110.8971314018805,-120.0427106272225
21.4,-101.9,-113.7079060788829,-122.2755347949023
21.799999,-108.4,-116.6129665878027,-124.7349566530921
22,-123.1,-112.904031025583,-122.1527339921464
23.200001,-123.1,-90.65048839432582,-106.6594472782729
23.4,-128.5,-86.94158820313694,-104.0772492432275
24,-112.5,-77.15464025477242,-95.8003855585345
24.200001,-95.099998,-79.87695498813773,-90.67306648941745
24.200001,-81.800003,-79.87695498813773,-90.67306648941745
24.6,-53.5,-85.32155849295096,-80.41847724892169
25,-64.400002,-90.76616199776414,-70.16388800842594
25,-57.599998,-90.76616199776414,-70.16388800842594
25.4,-72.300003,-96.21076550257733,-59.90929876793018
25.4,-44.299999,-96.21076550257733,-59.90929876793018
25.6,-26.799999,-98.93308023594257,-54.78197969881309
26,-5.4000001,-104.3776837407558,-44.52739045831731
26.200001,-107.1,-107.0999984741211,-39.40007138920021
26.200001,-21.5,-107.0999984741211,-39.40007138920021
26.4,-65.599998,-90.64539722939416,-33.74463636294145
27,-16,-41.28127964680564,-16.77822341468536
27.200001,-45.599998,-32.19389598667829,-12.27382445902935
27.200001,-24.200001,-32.19389598667829,-12.27382445902935
27.200001,9.5,-32.19389598667829,-12.27382445902935
27.6,4,-33.66539902625801,-6.334619677534169
28.200001,12,-35.8726570939674,2.574201654889695
28.4,-21.5,-36.60840510541728,5.543789885456096
28.4,37.5,-36.60840510541728,5.543789885456096
28.6,46.900002,-37.34416013354708,8.513406436384873
29.4,-17.4,-40.28716621270654,20.39181599937511
30.200001,36.200001,-43.23017930854591,32.27025388272777
31,75,-46.17318538770517,44.14866344571803
31.200001,8.1000004,-42.37649968923525,45.58372402885313
32,54.900002,27.19850847769765,32.90958933444247
32,48.200001,27.19850847769765,32.90958933444247
32.799999,46.900002,37.22841314340548,28.87727368604161
33.400002,16,35.18106463305548,27.24189560751913
33.799999,45.599998,33.81617864279714,26.15165395258494
34.400002,1.3,31.76883013244706,24.51627587406242
34.799999,75,30.40394414218859,23.42603421912824
35.200001,-16,29.03904513528859,22.3357821667799
35.200001,-54.900002,29.03904513528859,22.3357821667799
35.400002,69.599998,28.35659563183851,21.79065614060577
35.599998,34.799999,27.67415914503034,21.24554051184572
35.599998,32.099998,27.67415914503034,21.24554051184572
36.200001,-37.5,25.62681063468018,19.61016243332314
36.200001,22.799999,25.62681063468018,19.61016243332314
38,46.900002,19.48479113691321,14.70404899258397
38,10.7,19.48479113691321,14.70404899258397
39.200001,5.4000001,15.3901071328549,11.43330323295314
39.400002,-1.3,14.70765762940477,10.88817720677902
40,-21.5,12.6603221356964,9.252809525670532
40.400002,-13.3,11.29542312879648,8.162557473322142
41.599998,30.799999,7.200752141379734,4.891822111105501
41.599998,-10.7,7.200752141379734,4.891822111105501
42.400002,29.4,4.470954127579898,2.711318006408835
42.799999,0,3.10606813732154,1.62107635147466
42.799999,-10.7,3.10606813732154,1.62107635147466
43,14.7,2.423618633871183,1.075950325300557
44,-1.3,-.9886158667367684,-1.649669408156154
44.400002,0,-2.3535148736368,-2.739921460504501
45,10.7,-4.400850367345061,-4.375289141612665
46.599998,10.7,17.85810257561597,-10.79023622786998
47.799999,-26.799999,16.54886881233939,-8.973607517877408
47.799999,-14.7,16.54886881233939,-8.973607517877408
48.799999,-13.3,15.45784136993241,-7.459751222034409
50.599998,0,13.49399280598693,-4.734811044497302
52,10.7,11.96655272184098,-2.615409920355386
53.200001,-14.7,10.65731895856375,-.7987812103626304
55,-2.7,8.693470394618384,1.926158967174491
55,10.7,8.693470394618384,1.926158967174491
55.400002,-2.7,8.257057752879586,2.53170379547301
57.599998,10.7,5.856800709135154,5.862183026405422
