design,model,mean_rmse_true,sd_rmse_true,mean_rmse_obs,share_beats_kernel,reps
clustered,Linear regression,9.172209110487433,.3010019695088496,9.241943304682454,0,100
clustered,npregress kernel,.7164673497834748,.2331570601780832,1.347136622056371,,100
clustered,npregress series,.4673598373058703,.3327392410234584,1.221095390625657,.88999999,100
clustered,"NNS connect, order(3)",1.113701963710215,.252145682128711,1.615707833459885,.1,100
clustered,"NNS OLS, order(3)",.5395266114474258,.0911155582481163,1.255588067507512,.67000002,100
clustered,"NNS OLS, order(4)",.4956524989876178,.0673778186882461,1.115403280867103,.80000001,100
education,Linear regression,5.511703327301473,.1694602247383568,6.763296910881199,0,100
education,npregress kernel,.8015596804852819,.194426849509347,3.878925253012334,,100
education,npregress series,.7489499999617122,.218871051842532,3.911293805426958,.62,100
education,"NNS connect, order(3)",3.168314935577559,.5958219387804783,4.978062267901121,0,100
education,"NNS OLS, order(3)",.8870555140742159,.1795062880221739,3.887636581750712,.28,100
education,"NNS OLS, order(4)",1.290374042544545,.1798884150465586,3.753171260838818,0,100
water,Linear regression,5.115991493198123,.1319890881986043,5.686742339269714,0,100
water,npregress kernel,.4261571275909438,.104166950958598,2.452325171422716,,100
water,npregress series,.4160505098764506,.0817169745919798,2.471800660145073,.51999998,100
water,"NNS connect, order(3)",1.531095136994463,.2734351428876378,2.871180039460593,0,100
water,"NNS OLS, order(3)",.4834299587109895,.0950529594178229,2.447751694495983,.23,100
water,"NNS OLS, order(4)",.7836433813023711,.0995966087276278,2.36312820956547,0,100
