example,model,r2,rmse_obs,rmse_true
education,Linear regression,.8635307579233507,6.61069395348914,5.459597489011858
education,npregress kernel,.9496507157628048,4.015376864708241,.9230462942061528
education,npregress series,.9498534796761066,4.007283453923952,.8111746410576119
education,NNS connect xy o2,.9238236858713804,4.939006974097424,3.210462576429676
education,NNS connect xy o3,.9272065199916829,4.828096067144476,3.283069440298219
education,NNS median xy o3,.9378887574131858,4.459793710988994,2.350259097078719
education,NNS OLS xy o3,.949350020378277,4.027349308397127,.7839811827269951
water,Linear regression,.757001181376218,5.502021697905632,5.120875779326875
water,npregress kernel,.9618064676605593,2.181298650515709,.8651911263942236
water,npregress series,.9530653545534041,2.418059529243817,.4012119994819237
water,NNS connect xy o2,.9447969575357803,2.622416837730699,1.131977333786816
water,NNS connect xy o3,.9381386923064954,2.776065863990782,1.460052663229606
water,NNS median xy o3,.9287556785467564,2.979170403939998,1.803671260389646
water,NNS OLS xy o3,.9541951145785572,2.388779801571152,.3719672600627769
water,NNS OLS xonly o3,.9489543360276373,2.521736161669841,.8833064371137448
clustered,Linear regression,.0422563604135912,9.233512256627666,9.219189341764055
clustered,npregress kernel,.9848375916455017,1.161786661995828,.4837077695819696
clustered,npregress series,.9854613707094436,1.137637824669477,.3917540325509086
clustered,NNS connect xy o3,.9757886906696716,1.468085772882191,.9988326707539515
clustered,NNS OLS xy o3,.9835550961546307,1.209923636540772,.4918352785020936
clustered,NNS OLS xy o4,.9869556368894826,1.077590444279507,.4520313360339559
clustered,NNS OLS xy o5,.9890509140834252,.9872592774936909,.5961535599217017
